,permco,gvkey,companyid,score,preferred,duplicate
0,35,001259,1362.0,3.0,1.0,0.0
1,216,001602,2068.0,1.0,1.0,0.0
2,250,007799,21659.0,1.0,1.0,1.0
3,250,007799,1651568.0,1.0,1.0,1.0
4,682,018738,28834.0,1.0,1.0,0.0
5,887,012713,584.0,6.0,1.0,1.0
6,887,012713,2179515.0,6.0,1.0,1.0
7,899,002950,6544.0,1.0,1.0,0.0
8,1308,003691,23530.0,6.0,0.0,1.0
9,1308,003691,3350556.0,2.0,1.0,1.0
10,1783,004632,887375.0,1.0,1.0,0.0
11,1928,005020,13028.0,1.0,1.0,0.0
12,2293,005888,15541.0,3.0,1.0,0.0
13,2576,006414,1080048.0,10.0,1.0,0.0
14,2589,006315,18255.0,3.0,1.0,0.0
15,3104,007637,3299324.0,6.0,1.0,0.0
16,3133,033114,21450.0,1.0,1.0,0.0
17,3213,007662,2514597.0,1.0,1.0,0.0
18,4108,009699,27939.0,1.0,1.0,0.0
19,4217,009330,28863.0,6.0,0.0,1.0
20,4217,009330,2068654.0,1.0,1.0,1.0
21,4690,010902,32106.0,1.0,1.0,0.0
22,5264,011183,32726.0,3.0,1.0,0.0
23,5308,003171,13091.0,1.0,1.0,0.0
24,5541,003917,9152.0,1.0,1.0,0.0
25,5545,007504,20514.0,2.0,1.0,0.0
26,5639,005118,13104.0,10.0,1.0,0.0
27,5651,007798,21700.0,2.0,1.0,1.0
28,5651,007798,1665695.0,6.0,0.0,1.0
29,5872,002226,4336.0,6.0,1.0,0.0
30,5949,003116,22600.0,1.0,1.0,0.0
31,6082,006677,18728.0,5.0,1.0,0.0
32,6249,003011,6728.0,1.0,1.0,0.0
33,6267,012757,24331.0,1.0,1.0,0.0
34,6282,001902,5897.0,5.0,1.0,1.0
35,6282,001902,1147470.0,5.0,1.0,1.0
36,6438,002222,550617.0,3.0,1.0,0.0
37,6463,009340,15436.0,3.0,1.0,0.0
38,6473,012717,7864.0,6.0,0.0,1.0
39,6473,012717,2305769.0,1.0,1.0,1.0
40,6512,004162,11441.0,2.0,1.0,0.0
41,6520,005336,4861.0,1.0,1.0,0.0
42,6560,005902,15684.0,1.0,1.0,0.0
