Associationtype,Boardname,Companyname,Directorname,Overlapyearstart,Overlapyearend,Role,Associatedrole,Conncompanyorgtype,Boardid,Companyid,Directorid,Roletitle,Roleboardposition,Roleedflag,Overlapyearstart_int,Overlapyearend_int,Startcompanydatestartrole,Startcompanydateendrole,Conncompanydatestartrole,Conncompanydateendrole,Orgtype
Other,1 800 CONTACTS INC (De-listed 09/2007),Rhode Island School of Design (RISD),Steve Key,2006,2007,Independent Director (Brd) (SD),Vice Chairman,Universities,3,42613,59796,Independent Director,Brd,SD,2006,2007,2005-07-28,2007-09-07,,,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Key Consulting LLC,Steve Key,2005,2007,Independent Director (Brd) (SD),Sole Proprietor (Non-Brd),Private,3,632596,59796,Independent Director,Brd,SD,2005,2007,2005-07-28,2007-09-07,2001-01-01,,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),JD Watkins Enterprises Inc,Steve Key,2006,2007,Independent Director (Brd) (SD),Vice Chairman/COO (Brd) (ED),Private,3,121302,59796,Independent Director,Brd,SD,2006,2007,2005-07-28,2007-09-07,2006-01-01,,Quoted
Listed Org,1 800 CONTACTS INC (De-listed 09/2007),SITEL CORP (De-listed 01/2007),Steve Key,2006,2007,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,3,28148,59796,Independent Director,Brd,SD,2006,2007,2005-07-28,2007-09-07,2006-08-04,2007-01-31,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),JD Watkins Enterprises Inc,Steve Key,2005,2006,Independent Director (Brd) (SD),Vice Chairman/CFO (Brd) (ED),Private,3,121302,59796,Independent Director,Brd,SD,2005,2006,2005-07-28,2007-09-07,2001-02-01,2006-01-01,Quoted
Listed Org,1 800 CONTACTS INC (De-listed 09/2007),GREENHILL & CO INC,Steve Key,2005,2007,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,3,40757,59796,Independent Director,Brd,SD,2005,2007,2005-07-28,2007-09-07,2004-05-01,2020-04-23,Quoted
Education,1 800 CONTACTS INC (De-listed 09/2007),University of Utah,John Knotwell,2001,2005,,,Universities,3,62764,1617025,,,,2001,2005,,,,,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),H Rubin Vision Center,Bob Main,2006,2006,Senior VP (Non-Brd),CEO (Brd) (ED),Private,3,854997,540103,Senior VP,Non-Brd,,2006,2006,2006-03-01,2007-09-07,1999-10-01,2006-10-01,Quoted
NFP,1 800 CONTACTS INC (De-listed 09/2007),Prevent Blindness America Inc,Bob Main,2007,2007,Senior VP (Non-Brd),Committee Member,Charities,3,620993,540103,Senior VP,Non-Brd,,2007,2007,2006-03-01,2007-09-07,,,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),H Rubin Vision Center,Bob Main,2005,2006,Various Positions (Non-Brd),CEO (Brd) (ED),Private,3,854997,540103,Various Positions,Non-Brd,,2005,2006,2005-11-01,2006-03-01,1999-10-01,2006-10-01,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Myoptique Group Ltd (Glasses Direct) (Prescription Eyewear Ltd prior to 07/2013),Bob Main,2007,2007,Senior VP (Non-Brd),Senior VP (Non-Brd),Private,3,2070159,540103,Senior VP,Non-Brd,,2007,2007,2006-03-01,2007-09-07,2007-01-01,2009-09-01,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Sloan Valve Co,Dave Saylor,2003,2003,Vice President - Ops (Non-Brd),Director - Ops (Non-Brd),Private,3,630564,341582,Vice President - Ops,Non-Brd,,2003,2003,2003-06-01,2007-09-07,2001-01-01,2003-01-01,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),On the Upswing,Dave Saylor,2004,2007,Vice President - Ops (Non-Brd),President (Non-Brd),Private,3,2293847,341582,Vice President - Ops,Non-Brd,,2004,2007,2003-06-01,2007-09-07,2004-01-01,2010-04-01,Quoted
NFP,1 800 CONTACTS INC (De-listed 09/2007),Junior Achievement of Utah,Scott Tanner,1997,1999,CFO (Brd) (ED),Vice Chairman,Charities,3,821687,341583,CFO,Brd,ED,1997,1999,1997-11-01,1999-11-01,,,Quoted
