,gvkey,conm,datadate1,datadate2,cik,source,coname,fndate,lndate,n10k,n10k_nt,n10k_a,n10q,n10q_nt,n10q_a,ndef,n8k,ntot,flag
0,001034,ALPHARMA INC  -CL A,1983-12-31,2007-12-31,0000730469,COMPN,ALPHARMA INC,1994-02-08,2009-02-17,21.0,1.0,7.0,76.0,2.0,30.0,17.0,138.0,825.0,3.0
1,001259,TAMIR BIOTHECHNOLOGY INC,1984-07-31,2012-07-31,0000708717,COMPN,"TAMIR BIOTECHNOLOGY, INC.",1995-09-11,2018-01-25,28.0,3.0,7.0,59.0,4.0,1.0,11.0,81.0,470.0,3.0
2,001478,WYETH,1950-12-31,2008-12-31,0000005187,COMPN,WYETH,1994-03-17,2012-03-06,19.0,0.0,3.0,47.0,0.0,0.0,37.0,109.0,961.0,3.0
3,001602,AMGEN INC,1983-03-31,2023-12-31,0000318154,COMPN,AMGEN INC,1994-03-28,2024-06-04,32.0,0.0,3.0,95.0,0.0,4.0,92.0,308.0,2936.0,3.0
4,001902,DELSITE INC,1982-11-30,2007-12-31,0000718007,COMPN,"DELSITE, INC.",1994-02-01,2012-08-01,18.0,0.0,5.0,49.0,1.0,6.0,18.0,67.0,320.0,3.0
5,001979,BALCHEM CORP  -CL B,1974-12-31,2023-12-31,0000009326,COMPN,BALCHEM CORP,1995-08-11,2024-05-24,31.0,0.0,2.0,91.0,0.0,5.0,38.0,194.0,1148.0,3.0
6,002085,BAUSCH & LOMB HLDGS  -REDH,1950-12-31,2012-12-31,0000010427,FDATE,BAUSCH & LOMB INC,1994-02-09,2012-04-24,20.0,2.0,5.0,59.0,5.0,12.0,25.0,89.0,1577.0,3.0
7,002085,BAUSCH & LOMB HLDGS  -REDH,1950-12-31,2012-12-31,0000010427,COMPH,BAUSCH & LOMB INC,1994-02-09,2012-04-24,20.0,2.0,5.0,59.0,5.0,12.0,25.0,89.0,1577.0,3.0
8,002085,BAUSCH & LOMB HLDGS  -REDH,1950-12-31,2012-12-31,0000010427,CUSIP,BAUSCH & LOMB INC,1994-02-09,2012-04-24,20.0,2.0,5.0,59.0,5.0,12.0,25.0,89.0,1577.0,3.0
9,002085,BAUSCH & LOMB HLDGS  -REDH,1950-12-31,2012-12-31,0001416436,COMPN,BAUSCH & LOMB HOLDINGS INC,2007-10-31,2013-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
10,002086,BAXTER INTERNATIONAL INC,1950-12-31,2023-12-31,0000010456,COMPN,BAXTER INTERNATIONAL INC,1994-03-21,2024-06-05,34.0,1.0,3.0,97.0,1.0,5.0,52.0,276.0,2321.0,3.0
11,002222,SAVIENT PHARMACEUTICALS INC,1983-12-31,2012-12-31,0000722104,COMPN,SAVIENT PHARMACEUTICALS INC,1995-04-13,2019-03-20,28.0,2.0,8.0,68.0,2.0,10.0,24.0,176.0,980.0,3.0
12,002222,SAVIENT PHARMACEUTICALS INC,1983-12-31,2012-12-31,0001347178,CUSIP,VANDA PHARMACEUTICALS INC.,2005-12-29,2024-06-06,20.0,0.0,2.0,55.0,0.0,0.0,39.0,276.0,1206.0,3.0
13,002226,BIOGEN INC-OLD,1982-12-31,2002-12-31,0000714655,COMPN,BIOGEN IDEC MA INC,1994-02-08,2018-02-27,18.0,0.0,8.0,32.0,0.0,2.0,11.0,23.0,249.0,2.0
14,002403,BRISTOL-MYERS SQUIBB CO,1950-12-31,2023-12-31,0000014272,COMPN,BRISTOL MYERS SQUIBB CO,1994-03-15,2024-05-09,33.0,0.0,3.0,98.0,1.0,6.0,64.0,373.0,3304.0,3.0
15,002950,CHATTEM INC,1970-08-31,2009-11-30,0000019520,COMPN,CHATTEM INC,1995-02-07,2011-02-10,19.0,1.0,2.0,47.0,0.0,2.0,16.0,105.0,779.0,3.0
16,002990,IMUNON INC,1983-09-30,2023-12-31,0000749647,COMPN,"IMUNON, INC.",1996-08-07,2024-05-22,38.0,1.0,9.0,96.0,3.0,9.0,41.0,300.0,1263.0,3.0
17,003011,CHIRON CORP,1983-04-30,2005-12-31,0000706539,COMPN,CHIRON CORP,1994-02-14,2006-08-09,14.0,0.0,2.0,37.0,0.0,4.0,40.0,92.0,639.0,3.0
18,003116,CLINICAL DATA INC,1982-03-31,2010-03-31,0000716646,COMPN,CLINICAL DATA INC,1995-07-28,2011-04-25,19.0,2.0,3.0,50.0,0.0,2.0,20.0,137.0,655.0,3.0
19,003169,ONCOMED PHARMACEUTICALS,2009-12-31,2018-12-31,0001302573,COMPN,ONCOMED PHARMACEUTICALS INC,2004-09-07,2019-05-03,6.0,0.0,0.0,17.0,0.0,0.0,12.0,55.0,526.0,3.0
20,003171,OSCIENT PHARMACEUTICALS CORP,1981-08-31,2008-12-31,0000356830,COMPN,OSCIENT PHARMACEUTICALS CORP,1995-04-11,2010-02-12,24.0,0.0,10.0,49.0,1.0,5.0,16.0,158.0,745.0,3.0
21,003691,GT BIOPHARMA INC,1971-02-28,2023-12-31,0000109657,COMPN,"GT BIOPHARMA, INC.",1995-05-12,2024-05-23,43.0,7.0,8.0,108.0,11.0,9.0,30.0,201.0,776.0,3.0
22,003917,DIAGNOSTIC PRODUCTS CORP,1981-12-31,2005-12-31,0000702259,COMPN,DIAGNOSTIC PRODUCTS CORP,1995-03-28,2007-02-14,13.0,0.0,2.0,34.0,0.0,0.0,19.0,28.0,274.0,3.0
23,004162,E-Z-EM INC,1983-05-31,2007-05-31,0000727008,COMPN,"E-Z-EM, INC.",1994-02-14,2009-02-09,14.0,0.0,1.0,40.0,1.0,0.0,22.0,76.0,626.0,3.0
24,004409,ENZON PHARMACEUTICALS INC,1984-06-30,2023-12-31,0000727510,COMPN,"ENZON PHARMACEUTICALS, INC.",1995-03-03,2024-05-22,46.0,1.0,15.0,101.0,1.0,13.0,52.0,295.0,1412.0,3.0
25,004632,LISATA THERAPEUTICS INC,1980-09-30,2023-12-31,0000320017,COMPN,"LISATA THERAPEUTICS, INC.",1995-11-24,2024-05-09,50.0,6.0,15.0,107.0,13.0,7.0,46.0,318.0,1482.0,3.0
26,004843,FOREST LABORATORIES  -CL A,1961-03-31,2014-03-31,0000038074,COMPN,"FOREST LABORATORIES, LLC",1994-02-10,2014-07-15,25.0,0.0,4.0,64.0,0.0,3.0,113.0,132.0,1301.0,3.0
27,005020,GENENTECH INC,1980-12-31,2008-12-31,0000318771,COMPN,GENENTECH INC,1994-01-28,2009-04-20,18.0,0.0,4.0,46.0,0.0,4.0,29.0,65.0,766.0,3.0
28,005118,GENEX CORP,1981-12-31,1990-12-31,0000704695,COMPN,,,,,,,,,,,,,0.0
29,005241,KYTHERA BIOPHARMA INC,2007-12-31,2014-12-31,0001436304,COMPN,KYTHERA BIOPHARMACEUTICALS INC,2008-05-23,2016-02-11,4.0,0.0,1.0,14.0,0.0,5.0,6.0,48.0,425.0,3.0
30,005336,ALSERES PHARMACEUTICALS INC,1983-12-31,2013-12-31,0000094784,COMPN,ALSERES PHARMACEUTICALS INC /DE,1996-02-06,2014-11-21,31.0,1.0,12.0,58.0,3.0,0.0,17.0,203.0,604.0,3.0
31,005841,CYPRESS BIOSCIENCE INC,1983-12-31,2009-12-31,0000716054,COMPN,CYPRESS BIOSCIENCE INC,1995-08-07,2012-02-08,22.0,1.0,6.0,51.0,0.0,4.0,19.0,97.0,665.0,3.0
32,005841,CYPRESS BIOSCIENCE INC,1983-12-31,2009-12-31,0000919745,CUSIP,MIDATECH PHARMA US INC.,1996-05-14,2015-12-14,27.0,0.0,8.0,64.0,0.0,4.0,34.0,249.0,865.0,2.0
33,005888,TELIGENT INC,1980-12-31,2020-12-31,0000352998,COMPN,"TELIGENT, INC.",1995-04-07,2022-02-14,43.0,11.0,6.0,99.0,8.0,11.0,46.0,238.0,1017.0,3.0
34,005902,IMMUNOMEDICS INC,1985-06-30,2019-12-31,0000722830,COMPN,IMMUNOMEDICS INC,1995-05-12,2021-02-16,36.0,1.0,9.0,87.0,1.0,10.0,83.0,265.0,1091.0,3.0
35,006266,JOHNSON & JOHNSON,1950-12-31,2023-12-31,0000200406,COMPN,JOHNSON & JOHNSON,1994-03-10,2024-06-06,40.0,0.0,9.0,100.0,0.0,6.0,59.0,301.0,3112.0,3.0
36,006315,K V PHARMACEUTICAL  -CL A,1972-03-31,2012-03-31,0000057055,COMPN,K-V PHARMACEUTICAL CO,1994-02-08,2014-04-09,26.0,6.0,2.0,77.0,16.0,9.0,21.0,242.0,888.0,3.0
37,006315,K V PHARMACEUTICAL  -CL A,1972-03-31,2012-03-31,0001236271,CUSIP,K V PHARMACEUTICAL CO,2003-05-27,2013-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0
38,006315,K V PHARMACEUTICAL  -CL A,1972-03-31,2012-03-31,0001236271,FDATE,K V PHARMACEUTICAL CO,2003-05-27,2013-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0
39,006414,KEY PHARMACEUTICALS INC,1966-12-31,1985-12-31,0000055556,COMPN,,,,,,,,,,,,,0.0
40,006677,LESCARDEN INC,1983-05-31,2016-05-31,0000058822,COMPN,LESCARDEN INC,1996-01-05,2023-03-09,30.0,6.0,3.0,74.0,0.0,9.0,0.0,11.0,127.0,3.0
41,006730,LILLY (ELI) & CO,1950-12-31,2023-12-31,0000059478,COMPN,ELI LILLY & CO,1994-02-08,2024-06-06,31.0,0.0,1.0,94.0,0.0,3.0,53.0,221.0,3498.0,2.0
42,006924,MACROCHEM CORP/DE,1984-03-31,2007-12-31,0000743884,COMPN,MACROCHEM CORP,1995-11-13,2009-06-04,17.0,0.0,4.0,47.0,1.0,6.0,13.0,39.0,367.0,3.0
43,007257,MERCK & CO,1950-12-31,2023-12-31,0000064978,COMPH,MERCK SHARP & DOHME LLC,1994-01-19,2024-03-11,24.0,0.0,7.0,50.0,0.0,2.0,90.0,151.0,1426.0,2.0
44,007257,MERCK & CO,1950-12-31,2023-12-31,0000064978,CUSIP,MERCK SHARP & DOHME LLC,1994-01-19,2024-03-11,24.0,0.0,7.0,50.0,0.0,2.0,90.0,151.0,1426.0,2.0
45,007257,MERCK & CO,1950-12-31,2023-12-31,0000064978,FDATE,MERCK SHARP & DOHME LLC,1994-01-19,2024-03-11,24.0,0.0,7.0,50.0,0.0,2.0,90.0,151.0,1426.0,2.0
46,007257,MERCK & CO,1950-12-31,2023-12-31,0000310158,COMPN,"MERCK & CO., INC.",1994-03-07,2024-06-04,40.0,0.0,9.0,92.0,0.0,1.0,54.0,265.0,2767.0,3.0
47,007504,MGI PHARMA INC,1981-06-30,2006-12-31,0000702131,COMPN,MGI PHARMA INC,1994-12-01,2009-02-12,15.0,0.0,3.0,41.0,0.0,2.0,14.0,95.0,625.0,3.0
48,007526,QUIDELORTHO CORP,1981-03-31,2023-12-31,0000353569,FDATE,QUIDEL CORP /DE/,1995-08-14,2022-06-06,29.0,0.0,2.0,88.0,0.0,7.0,28.0,261.0,1530.0,2.0
49,007526,QUIDELORTHO CORP,1981-03-31,2023-12-31,0000353569,CUSIP,QUIDEL CORP /DE/,1995-08-14,2022-06-06,29.0,0.0,2.0,88.0,0.0,7.0,28.0,261.0,1530.0,2.0
50,007526,QUIDELORTHO CORP,1981-03-31,2023-12-31,0000353569,COMPH,QUIDEL CORP /DE/,1995-08-14,2022-06-06,29.0,0.0,2.0,88.0,0.0,7.0,28.0,261.0,1530.0,2.0
51,007526,QUIDELORTHO CORP,1981-03-31,2023-12-31,0001906324,COMPN,QUIDELORTHO CORP,2022-01-31,2024-06-04,2.0,0.0,0.0,6.0,0.0,0.0,4.0,29.0,247.0,3.0
52,007536,PHARMACIA CORP,1950-12-31,2002-12-31,0000067686,COMPN,PHARMACIA CORP /DE/,1994-03-14,2008-12-18,11.0,0.0,1.0,31.0,0.0,4.0,20.0,44.0,537.0,3.0
53,007637,VIATRIS INC,1974-03-31,2023-12-31,0000069499,COMPH,MYLAN INC.,1994-02-07,2022-05-06,28.0,0.0,6.0,64.0,0.0,1.0,40.0,188.0,1221.0,2.0
54,007637,VIATRIS INC,1974-03-31,2023-12-31,0000069499,FDATE,MYLAN INC.,1994-02-07,2022-05-06,28.0,0.0,6.0,64.0,0.0,1.0,40.0,188.0,1221.0,2.0
55,007637,VIATRIS INC,1974-03-31,2023-12-31,0000069499,CUSIP,MYLAN INC.,1994-02-07,2022-05-06,28.0,0.0,6.0,64.0,0.0,1.0,40.0,188.0,1221.0,2.0
56,007637,VIATRIS INC,1974-03-31,2023-12-31,0001792044,COMPN,VIATRIS INC,2019-10-25,2024-06-04,9.0,0.0,4.0,13.0,0.0,0.0,8.0,46.0,384.0,3.0
57,007662,BIOMERICA INC,1979-05-31,2023-05-31,0000073290,COMPN,BIOMERICA INC,1995-09-28,2024-05-10,41.0,8.0,5.0,106.0,12.0,7.0,31.0,69.0,546.0,3.0
58,007694,MARINA BIOTECH INC -OLD,1984-06-30,2015-12-31,,NOLNK,,,,,,,,,,,,,0.0
59,007694,MARINA BIOTECH INC -OLD,1984-06-30,2015-12-31,0000737207,COMPH,"ADHERA THERAPEUTICS, INC.",1995-10-16,2024-01-30,41.0,7.0,6.0,103.0,14.0,4.0,32.0,291.0,1210.0,2.0
60,007694,MARINA BIOTECH INC -OLD,1984-06-30,2015-12-31,0000737207,CUSIP,"ADHERA THERAPEUTICS, INC.",1995-10-16,2024-01-30,41.0,7.0,6.0,103.0,14.0,4.0,32.0,291.0,1210.0,2.0
