,conm,gvkey,add1,add2,add3,add4,addzip,busdesc,cik,city,conml,costat,county,dlrsn,ein,fax,fic,fyrc,ggroup,gind,gsector,gsubind,idbflag,incorp,loc,naics,phone,prican,prirow,priusa,sic,spcindcd,spcseccd,spcsrc,state,stko,weburl,dldte,ipodate
0,ALPHARMA INC  -CL A,001034,"440 Route 22 East, P.O. Box 1399",,,,08807,"Alpharma, LLC manufactures and markets pharmaceutical and nutritional products for animals. The company offers medicated feed additive products, water-soluble therapies, and science-based products.",0000730469,Bridgewater,Alpharma Inc.,I,,01,22-2095212,,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,855 424 7349,,,01,2834,283.0,905.0,B-,NJ,0.0,,2008-12-31,
1,ALCON LABORATORIES INC,001248,6201 South Freeway,,,,76134-2001,"Alcon Laboratories, Inc. develops and manufactures medicines and devices for eye care needs.",0000003382,Fort Worth,Alcon Laboratories Inc,I,,01,,817 568 7128,USA,4.0,,,,,D,,USA,,800 757 9195,,,01,2834,285.0,905.0,,TX,0.0,www.alcon.com,1978-01-31,
2,TAMIR BIOTHECHNOLOGY INC,001259,"51 JFK Parkway, 1st Floor West, Suite 108",,,,07078,"Tamir Biotechnology, Inc., a biopharmaceutical company, primarily engages in the discovery and development of a class of therapeutic drugs for the treatment of cancer and other pathological conditions.",0000708717,Short Hills,Tamir Biotechnology Inc,I,,10,22-2369085,800-850-8208,USA,7.0,3520,352010,35,35201010,D,DE,USA,325414,800-419-5061,,,01,2836,147.0,905.0,C,NJ,3.0,tamirbio.com,2013-06-20,
3,ALLERGAN PHARMACEUTICALS INC,001284,2525 DUPONT DRIVE,,,,92713,,0000215038,IRVINE,Allergan Pharmaceuticals Inc,I,Orange,01,,,USA,12.0,,,,,D,,USA,,714-752-4500,,,01,2834,285.0,905.0,,CA,0.0,,1980-04-30,
4,ALZA CORP,001359,700 Eubanks Drive,,,,95688-9470,"ALZA Corporation, a pharmaceutical research and development company, focuses on the development of drug delivery technologies. It develops transdermal, implant, oral, and liposomal drug delivery technologies that are used in various commercialized pharmaceutical products.",0000004310,Vacaville,Alza Corp,I,,01,77-0142070,707 453 6461,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,707 453 6400,,,01,2834,283.0,905.0,,CA,0.0,www.alza.com,2001-06-25,
5,AMERICAN DIAGNOSTICS CORP,001433,500 West Avenue,,,,06902,"As of 2012, American Diagnostica Inc. was acquired by Sekisui Diagnostics, LLC. American Diagnostica Inc. discovers, develops, manufactures, and distributes clinical diagnostic and research products for use in the fields of coagulation, fibrinolysis, thrombosis, hemostasis, and oncology.",0000351923,Stamford,American Diagnostics Corp,I,,01,,203-602-2221,USA,6.0,,,,,D,,USA,,203-602-7777,,,01,2835,147.0,905.0,,CT,0.0,,1984-07-31,
6,WYETH,001478,235 East 42nd Street,,,,10017-5703,"Wyeth LLC manufactures pharmaceuticals and healthcare products. The company offers pharmaceutical and biotechnology products, consumer health care products, and animal health care products.",0000005187,New York,Wyeth,I,,01,13-2526821,973-660-7528,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,973-660-5000,,,01,2834,280.0,905.0,B,NY,0.0,,2009-10-16,
7,AMERICAN MONITOR CORP,001514,5425 West 84th Street,,,,46268,,,Indianapolis,American Monitor Corp,I,,02,35-1126969,,USA,6.0,3520,352010,35,35201010,D,IN,USA,325413,,,,02,2835,147.0,905.0,,IN,0.0,,1991-09-30,
8,AMERICAN PHONEMETER  -CL A,001538,369 PASSAIC AVENUE  ',,,,07006,,,FAIRFIELD,American Phonemeter,I,Essex,10,22-2121957,,USA,12.0,4520,452010,45,45201020,D,NJ,USA,541710,201-882-0640,,,01,8731,292.0,905.0,,NJ,0.0,,1990-05-31,
9,AMGEN INC,001602,One Amgen Center Drive,,,,91320-1799,"Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide. It focuses on inflammation, oncology/hematology, bone health, cardiovascular disease, nephrology, and neuroscience areas.",0000318154,Thousand Oaks,Amgen Inc,A,,,95-3540776,805 447 1010,USA,12.0,3520,352010,35,35201010,B,DE,USA,325414,805 447 1000,,,01,2836,147.0,905.0,A-,CA,0.0,www.amgen.com,,
10,TOWNE PAULSEN INC,001695,14527 South San Pedro Street,,,,90248,,0000721671,Gardena,Towne Paulsen Inc,I,,10,95-3241544,,USA,10.0,3520,352020,35,35202010,D,CA,USA,325412,,,,01,2834,285.0,905.0,,CA,0.0,,1990-01-31,
